Site Name,MVL-RSC-IN
Isco Quantity,Level
Label,Level
Units,ft
Resolution, 0.1 
Significant Digits,0

2/7/2018 8:14:00 PM,0.292
2/7/2018 8:16:00 PM,0.289
2/7/2018 8:18:00 PM,0.289
2/7/2018 8:20:00 PM,0.292
2/7/2018 8:22:00 PM,0.299
2/7/2018 8:24:00 PM,0.299
2/7/2018 8:26:00 PM,0.299
2/7/2018 8:28:00 PM,0.292
2/7/2018 8:30:00 PM,0.292
2/7/2018 8:32:00 PM,0.292
2/7/2018 8:34:00 PM,0.292
2/7/2018 8:36:00 PM,0.292
2/7/2018 8:38:00 PM,0.292
2/7/2018 8:40:00 PM,0.292
2/7/2018 8:42:00 PM,0.308
2/7/2018 8:44:00 PM,0.285
2/7/2018 8:46:00 PM,0.305
2/7/2018 8:48:00 PM,0.302
2/7/2018 8:50:00 PM,0.299
2/7/2018 8:52:00 PM,0.312
2/7/2018 8:54:00 PM,0.299
2/7/2018 8:56:00 PM,0.276
2/7/2018 8:58:00 PM,0.299
2/7/2018 9:00:00 PM,0.299
2/7/2018 9:02:00 PM,0.292
2/7/2018 9:04:00 PM,0.292
2/7/2018 9:06:00 PM,0.299
2/7/2018 9:08:00 PM,0.276
2/7/2018 9:10:00 PM,0.285
2/7/2018 9:12:00 PM,0.308
2/7/2018 9:14:00 PM,0.292
2/7/2018 9:16:00 PM,0.302
2/7/2018 9:18:00 PM,0.295
2/7/2018 9:20:00 PM,0.292
2/7/2018 9:22:00 PM,0.289
2/7/2018 9:24:00 PM,0.299
2/7/2018 9:26:00 PM,0.299
2/7/2018 9:28:00 PM,0.295
2/7/2018 9:30:00 PM,0.285
2/7/2018 9:32:00 PM,0.302
2/7/2018 9:34:00 PM,0.302
2/7/2018 9:36:00 PM,0.292
2/7/2018 9:38:00 PM,0.292
2/7/2018 9:40:00 PM,0.292
2/7/2018 9:42:00 PM,0.289
2/7/2018 9:44:00 PM,0.302
2/7/2018 9:46:00 PM,0.299
2/7/2018 9:48:00 PM,0.299
2/7/2018 9:50:00 PM,0.295
2/7/2018 9:52:00 PM,0.292
2/7/2018 9:54:00 PM,0.305
2/7/2018 9:56:00 PM,0.289
2/7/2018 9:58:00 PM,0.285
2/7/2018 10:00:00 PM,0.285
2/7/2018 10:02:00 PM,0.292
