timestamp,in2.ft
2/27/2018 14:56,0.047
2/27/2018 14:58,0.054
2/27/2018 15:00,0.051
2/27/2018 15:02,0.047
2/27/2018 15:04,0.047
2/27/2018 15:06,0.047
2/27/2018 15:08,0.047
2/27/2018 15:10,0.047
2/27/2018 15:12,0.047
2/27/2018 15:14,0.047
2/27/2018 15:16,0.051
2/27/2018 15:18,0.051
2/27/2018 15:20,0.051
2/27/2018 15:22,0.051
2/27/2018 15:24,0.051
2/27/2018 15:26,0.047
2/27/2018 15:28,0.051
2/27/2018 15:30,0.051
2/27/2018 15:32,0.051
2/27/2018 15:34,0.051
2/27/2018 15:36,0.051
2/27/2018 15:38,0.054
2/27/2018 15:40,0.051
2/27/2018 15:42,0.051
2/27/2018 15:44,0.051
2/27/2018 15:46,0.051
2/27/2018 15:48,0.051
2/27/2018 15:50,0.051
2/27/2018 15:52,0.051
2/27/2018 15:54,0.051
2/27/2018 15:56,0.051
2/27/2018 15:58,0.051
2/27/2018 16:00,0.051
2/27/2018 16:02,0.047
2/27/2018 16:04,0.047
2/27/2018 16:06,0.047
2/27/2018 16:08,0.051
2/27/2018 16:10,0.051
2/27/2018 16:12,0.051
2/27/2018 16:14,0.051
2/27/2018 16:16,0.051
2/27/2018 16:18,0.047
2/27/2018 16:20,0.047
2/27/2018 16:22,0.047
2/27/2018 16:24,0.047
2/27/2018 16:26,0.047
2/27/2018 16:28,0.051
2/27/2018 16:30,0.051
2/27/2018 16:32,0.047
2/27/2018 16:34,0.047
2/27/2018 16:36,0.051
2/27/2018 16:38,0.051
2/27/2018 16:40,0.051
2/27/2018 16:42,0.047
2/27/2018 16:44,0.047
2/27/2018 16:46,0.047
2/27/2018 16:48,0.047
2/27/2018 16:50,0.047
2/27/2018 16:52,0.047
2/27/2018 16:54,0.047
2/27/2018 16:56,0.047
2/27/2018 16:58,0.047
2/27/2018 17:00,0.051
2/27/2018 17:02,0.044
2/27/2018 17:04,0.047
2/27/2018 17:06,0.047
2/27/2018 17:08,0.047
2/27/2018 17:10,0.047
2/27/2018 17:12,0.047
2/27/2018 17:14,0.047
2/27/2018 17:16,0.047
2/27/2018 17:18,0.047
2/27/2018 17:20,0.047
2/27/2018 17:22,0.047
2/27/2018 17:24,0.047
2/27/2018 17:26,0.047
2/27/2018 17:28,0.047
2/27/2018 17:30,0.047
2/27/2018 17:32,0.047
2/27/2018 17:34,0.047
2/27/2018 17:36,0.047
2/27/2018 17:38,0.047
2/27/2018 17:40,0.047
2/27/2018 17:42,0.047
2/27/2018 17:44,0.047
2/27/2018 17:46,0.047
2/27/2018 17:48,0.047
2/27/2018 17:50,0.047
2/27/2018 17:52,0.047
2/27/2018 17:54,0.047
2/27/2018 17:56,0.047
2/27/2018 17:58,0.051
2/27/2018 18:00,0.047
2/27/2018 18:02,0.044
2/27/2018 18:04,0.047
2/27/2018 18:06,0.047
2/27/2018 18:08,0.044
2/27/2018 18:10,0.047
2/27/2018 18:12,0.047
2/27/2018 18:14,0.047
2/27/2018 18:16,0.047
2/27/2018 18:18,0.044
2/27/2018 18:20,0.047
2/27/2018 18:22,0.047
2/27/2018 18:24,0.047
2/27/2018 18:26,0.044
2/27/2018 18:28,0.047
2/27/2018 18:30,0.044
2/27/2018 18:32,0.044
2/27/2018 18:34,0.044
2/27/2018 18:36,0.044
2/27/2018 18:38,0.044
2/27/2018 18:40,0.044
2/27/2018 18:42,0.047
2/27/2018 18:44,0.047
2/27/2018 18:46,0.047
2/27/2018 18:48,0.041
2/27/2018 18:50,0.044
2/27/2018 18:52,0.044
2/27/2018 18:54,0.047
2/27/2018 18:56,0.044
2/27/2018 18:58,0.047
2/27/2018 19:00,0.044
2/27/2018 19:02,0.041
2/27/2018 19:04,0.044
2/27/2018 19:06,0.044
2/27/2018 19:08,0.044
2/27/2018 19:10,0.044
2/27/2018 19:12,0.044
2/27/2018 19:14,0.044
2/27/2018 19:16,0.044
2/27/2018 19:18,0.044
2/27/2018 19:20,0.041
2/27/2018 19:22,0.044
2/27/2018 19:24,0.044
2/27/2018 19:26,0.044
2/27/2018 19:28,0.047
2/27/2018 19:30,0.044
2/27/2018 19:32,0.041
2/27/2018 19:34,0.041
2/27/2018 19:36,0.041
2/27/2018 19:38,0.041
2/27/2018 19:40,0.044
2/27/2018 19:42,0.044
2/27/2018 19:44,0.041
2/27/2018 19:46,0.044
2/27/2018 19:48,0.041
2/27/2018 19:50,0.041
2/27/2018 19:52,0.041
2/27/2018 19:54,0.044
2/27/2018 19:56,0.041
2/27/2018 19:58,0.041
2/27/2018 20:00,0.041
2/27/2018 20:02,0.037
2/27/2018 20:04,0.041
2/27/2018 20:06,0.041
2/27/2018 20:08,0.041
2/27/2018 20:10,0.041
2/27/2018 20:12,0.041
2/27/2018 20:14,0.041
2/27/2018 20:16,0.041
2/27/2018 20:18,0.041
2/27/2018 20:20,0.041
2/27/2018 20:22,0.041
2/27/2018 20:24,0.041
2/27/2018 20:26,0.041
2/27/2018 20:28,0.044
2/27/2018 20:30,0.041
2/27/2018 20:32,0.041
2/27/2018 20:34,0.041
2/27/2018 20:36,0.041
2/27/2018 20:38,0.041
2/27/2018 20:40,0.041
2/27/2018 20:42,0.041
2/27/2018 20:44,0.041
2/27/2018 20:46,0.041
2/27/2018 20:48,0.037
2/27/2018 20:50,0.041
2/27/2018 20:52,0.041
2/27/2018 20:54,0.041
2/27/2018 20:56,0.041
2/27/2018 20:58,0.041
2/27/2018 21:00,0.041
2/27/2018 21:02,0.041
2/27/2018 21:04,0.041
2/27/2018 21:06,0.037
2/27/2018 21:08,0.041
2/27/2018 21:10,0.041
2/27/2018 21:12,0.041
2/27/2018 21:14,0.041
2/27/2018 21:16,0.041
2/27/2018 21:18,0.041
2/27/2018 21:20,0.037
2/27/2018 21:22,0.041
2/27/2018 21:24,0.041
2/27/2018 21:26,0.041
2/27/2018 21:28,0.041
2/27/2018 21:30,0.041
2/27/2018 21:32,0.037
2/27/2018 21:34,0.041
2/27/2018 21:36,0.041
2/27/2018 21:38,0.041
2/27/2018 21:40,0.041
2/27/2018 21:42,0.041
2/27/2018 21:44,0.041
2/27/2018 21:46,0.041
2/27/2018 21:48,0.037
2/27/2018 21:50,0.037
2/27/2018 21:52,0.041
2/27/2018 21:54,0.037
2/27/2018 21:56,0.037
2/27/2018 21:58,0.041
2/27/2018 22:00,0.041
2/27/2018 22:02,0.037
2/27/2018 22:04,0.037
2/27/2018 22:06,0.041
2/27/2018 22:08,0.041
2/27/2018 22:10,0.041
2/27/2018 22:12,0.041
