"","event","start","end","Duration","Accumulation","max.intensity5","runoff.est.in1","in1.vol","dryout.vol","runoff.est.in2","in2.vol","in2.hobo.vol","runoff.est.runon","out.vol","out.vol.roll","in.sum","flow.vol.perc_diff.roll","flow.vol.perc_diff"
"22",47,2018-01-28 04:54:00,2018-01-30 03:52:00,46.9666666666667,43.942,18.288,311632.861682916,1683834715.50203,0,536944.699438683,0,1901120234.03086,34325.3348986089,1560970348.94062,1560619455.38967,3584989274.86779,56.4679463246866,56.4581584697157
"23",51,2018-02-04 09:58:00,2018-02-05 07:00:00,21.0333333333333,14.478,10.668,100365.890449995,290296197.645321,0,172269.357259948,0,257943959.346586,11075.4890672194,172262613.332187,172201389.523235,548251232.480974,68.5907884339848,68.579621325673
"24",52,2018-02-07 14:56:00,2018-02-08 10:50:00,19.9,5.842,10.668,38542.3639427757,4628182.22831928,0,65613.7371683962,0,103187053.209272,4270.17266622378,145100921.34553,145288309.382406,107819505.610258,-34.751414931904,-34.5776170315931
"25",60,2018-02-19 04:06:00,2018-02-19 20:34:00,16.4666666666667,6.35,6.096,42170.7629419258,5415714.95822556,0,71868.4415820135,68521453.4370442,341169672.750267,4669.70983206739,82646096.5816109,82531798.9210204,346590057.418325,76.1874880266958,76.1545102599815
"26",64,2018-02-28 21:46:00,2018-03-02 12:30:00,38.7333333333333,16.256,12.192,113109.216858453,18430239.627705,0,194262.638742993,587064285.994954,2000703040.98168,12477.9810130168,377440945.997083,377887075.788813,2019145758.5904,81.2848045178956,81.3068994949339
"27",65,2018-03-06 12:06:00,2018-03-07 12:40:00,24.5666666666667,11.684,7.62,80345.9632529987,7037961.76032871,0,137720.865001123,204257360.95064,854639326.768703,8872.06737995801,112675851.688135,113234842.137553,861686160.596411,86.8589229680586,86.9237946667094
"28",66,2018-03-11 07:18:00,2018-03-13 10:40:00,51.3666666666667,24.638,7.62,173201.900495336,26110502.15099,0,297985.057248999,1052911189.33281,3949508735.97459,19091.3123371079,721295328.040761,721438739.69734,3975638329.43791,81.853511815816,81.8571190769574
"29",69,2018-03-20 02:02:00,2018-03-20 21:34:00,19.5333333333333,23.114,15.24,162274.640027648,4400913.01271268,0,279123.345667663,216911506.972693,663357739.243984,17888.7657844828,266948263.765059,266456990.78656,667776541.022482,60.0978808901301,60.0243124209911
"30",70,2018-03-20 22:42:00,2018-03-22 05:26:00,30.7333333333333,6.604,16.764,43985.7911759179,11375857.6452149,0,74997.703072987,184929991.771292,1309770648.70094,4869.55621141118,220048158.04536,219990879.613551,1321151375.90236,83.3485485746632,83.3442130811797
"31",71,2018-03-24 15:40:00,2018-03-25 18:30:00,26.8333333333333,26.416,10.668,185950.830160858,4851262.97084343,0,319991.465220616,472095973.177689,1252737096.87282,20494.3260224776,439668545.913461,439206967.492893,1257608854.16969,65.0760277301903,65.0393248699141
"32",73,2018-04-07 03:46:00,2018-04-08 14:42:00,34.9333333333333,25.146,10.668,176844.4053997,543742237.606553,0,304272.493370755,559944313.821022,1917366109.61807,19492.16907168,364636408.268906,365069298.773961,2461127839.39369,85.1665852975806,85.1841744084803
"33",74,2018-04-15 07:02:00,2018-04-16 12:40:00,29.6333333333333,83.058,76.2,592168.057099989,1107003806.39997,0,1021223.83181661,860008455.043197,1461519894.14539,65197.0953036498,1733630654.87352,1734086500.63265,2568588897.64067,32.4887488914453,32.506495824773
"34",75,2018-04-23 15:54:00,2018-04-24 22:58:00,31.0666666666667,20.066,7.62,140421.548149343,384598965.990367,0,241403.275056841,165198021.430448,1070844291.43548,15483.8056520908,220721579.532087,220711171.47874,1455458741.2315,84.8356284361595,84.8349133314951
"35",76,2018-04-26 21:12:00,2018-04-27 13:14:00,16.0333333333333,8.382,25.908,56701.9485794416,100928553.036115,0,96927.8498328685,60688493.8494427,359870303.022206,6269.50837848142,71490745.5355725,71330148.8159665,460805125.5667,84.5205391914327,84.4856878604263
"36",78,2018-05-16 12:02:00,2018-05-18 10:36:00,46.5666666666667,34.798,59.436,246057.37183298,949046268.99564,0,423746.402223892,451287660.951653,515586087.300404,27108.9466807259,532447005.416632,533568824.217744,1464659465.24273,63.5704519118838,63.6470443777596
"37",79,2018-05-18 10:58:00,2018-05-20 02:44:00,39.7666666666667,40.894,45.72,289774.010228939,1013380144.25332,0,499211.098616779,783922210.440195,893353040.95113,31919.8391924878,841780616.587128,841195071.730557,1906765105.04364,55.8836550183613,55.8529462092363
"38",80,2018-05-21 15:44:00,2018-05-22 12:06:00,20.3666666666667,28.194,96.012,198700.166207809,385832875.59893,0,341998.827587582,281502353.564895,719176223.667115,21897.3775016258,269028131.979776,267772048.765203,1105030996.64355,75.7679151464038,75.6542456458751
"39",82,2018-05-28 02:28:00,2018-05-30 06:28:00,52,21.844,13.716,153168.924341515,68432372.3511086,543426285.533217,263406.038067205,504019160.886227,487441523.6058,16886.6747979279,546132696.239711,546221344.300724,555890782.631707,1.73944930067116,1.75539632907734
"40",83,2018-05-30 14:58:00,2018-05-31 11:04:00,20.1,6.35,21.336,42170.7629419258,6425893.59926266,42775275.1900224,71868.4415820135,53437171.9555019,58807615.0916153,4669.70983206739,74110939.4876137,74993764.6495618,65238178.4007101,-14.9537992752195,-13.6005653505603
"41",86,2018-06-11 00:20:00,2018-06-11 14:26:00,14.1,7.62,35.052,51250.1934609896,10433688.999922,37661494.9121458,87524.651061468,16055404.9959859,16664728.3866679,5669.34398889321,12187926.3929161,11354836.4137461,27104086.7305788,58.1065522457335,55.0328829963281
"42",89,2018-06-25 23:50:00,2018-06-27 12:14:00,36.4,21.336,15.24,149526.736248485,286085949.151364,694093674.131008,257119.345331468,138566553.82278,715029619.076381,16485.8475395646,149420588.652506,149448177.794022,1001132054.07528,85.0720814316486,85.0748372260919
"43",91,2018-07-05 18:26:00,2018-07-06 07:56:00,13.5,38.608,109.728,273380.081715722,201880338.944416,410119284.468437,470911.392479093,36039660.537816,211135784.249833,30115.7369290424,158290420.772019,157871710.957705,413046238.931178,61.7786833342866,61.6773121620427
"44",92,2018-07-06 14:22:00,2018-07-08 00:28:00,34.1,54.102,71.628,384497.353733911,1097642553.9322,3120543906.16795,662727.263315935,2160285891.29344,1636665729.35129,42343.8075328826,1199635193.39648,1198991058.93186,2734350627.09102,56.1507932796672,56.127236152127
